國家/地區,人口
中國內地,1400050000
印度,1372000000
美國,329720000
印尼,269600000
巴西,211590000
巴基斯坦,209300000
奈及利亞,207410000
孟加拉,170720000
俄羅斯,146660000
墨西哥,137510000
日本,125900000
菲律賓,108660000
埃及,100430000
衣索比亞,98665000
越南,96209000
剛果民主共和國,90060000
伊朗,83492000
土耳其,83155000
德國,83149000
法國,67067000
英國,66797000
泰國,66484000
坦尚尼亞,61495000
義大利,60015000
南非,57225000
緬甸,56004000
南韓,51781000
哥倫比亞,50372000
肯亞,47899000
西班牙,47100000
烏干達,45422000
阿根廷,45377000
阿爾及利亞,43402000
蘇丹,42434000
烏克蘭,41902000
伊拉克,40150000
波蘭,38386000
加拿大,38114000
阿富汗,37473000
摩洛哥,35852000
沙烏地阿拉伯,35178000
烏茲別克,33906000
馬來西亞,32729000
委內瑞拉,32220000
秘魯,32131000
加納,30280000
葉門,30268000
莫三比克,30067000
尼泊爾,29898000
安哥拉,29164000
馬達加斯加,26251000
喀麥隆,26245000
象牙海岸,25823000
北韓,25791000
澳大利亞,25636000
臺灣,23586562
尼日,22315000
羅馬尼亞,22175000
斯里蘭卡,21803000
布吉納法索,21510000
馬利,20210000
智利,18874000
哈薩克,18654000
瓜地馬拉,18011000
尚比亞,17885000
馬拉威,17564000
厄瓜多,17460000
荷蘭,17429000
敘利亞,16538000
柬埔寨,16524000
查德,16245000
塞內加爾,16209000
辛巴威,15160000
南蘇丹,14945000
幾內亞,12560000
盧安達,12374000
索馬利亞,12037000
貝南,11884000
海地,11743000
突尼西亞,11722000
玻利維亞,11588000
比利時,11476000
蒲隆地,11216000
古巴,11210000
希臘,10725000
捷克共和國,10694000
約旦,10610000
多明尼加,10448000
瑞典,10333000
葡萄牙,10277000
亞塞拜然,10067000
阿聯酋,10061000
匈牙利,9769000
白俄羅斯,9502000
宏都拉斯,9251300
以色列,9175500
塔吉克,9170000
巴布亞紐幾內亞,8935000
奧地利,8902600
瑞士,8586600
獅子山,8100300
黎巴嫩,7755900
多哥,7706000
香港,7500700
巴拉圭,7252700
寮國,7013000
塞爾維亞,6963800
保加利亞,6942100
吉爾吉斯,6523500
尼加拉瓜,6426100
利比亞,6281800
薩爾瓦多,6210500
丹麥,5827500
厄利垂亞,5784500
土庫曼,5706000
新加坡,5703600
芬蘭,5526800
斯洛伐克,5456400
中非,5368400
挪威,5367600
剛果共和國,5206400
哥斯大黎加,5111200
巴勒斯坦,4976700
紐西蘭,4951500
愛爾蘭,4921500
阿曼,4647500
賴比瑞亞,4475400
科威特,4420100
巴拿馬,4218800
茅利塔尼亞,4077300
克羅埃西亞,4076200
波赫,3788100
喬治亞,3723500
烏拉圭,3518600
蒙古,3238400
波多黎各,3193700
亞美尼亞,2957500
阿爾巴尼亞,2862400
立陶宛,2793500
卡達,2747300
牙買加,2726700
摩爾多瓦,2681700
納米比亞,2458900
波札那,2338900
甘比亞,2297700
賴索托,2252600
斯洛維尼亞,2094100
北馬其頓,2077100
拉脫維亞,1906800
加彭,1906700
科索沃,1795700
巴林,1592000
幾內亞比索,1584800
赤道幾內亞,1454800
東帝汶,1387100
千里達及托巴哥,1364000
史瓦帝尼,1377700
愛沙尼亞,1328400
模里西斯,1221700
吉布地,1078400
斐濟,895400
塞普勒斯,875900
葛摩,873720
蓋亞那,780200
不丹,741670
索羅門群島,714800
澳門,679600
西撒哈拉,632870
蒙特內哥羅,622360
盧森堡,613890
蘇利南,566390
維德角,550480
馬爾他,493560
聶斯特河沿岸,469000
汶萊,442400
貝里斯,408490
巴哈馬,385340
馬爾地夫,374780
冰島,364130
北賽普勒斯,351965
萬那杜,319500
新喀里多尼亞,293600
巴貝多,288510
法屬玻里尼西亞,280600
阿布哈茲,244832
薩摩亞,202510
聖多美普林西比,201780
聖露西亞,192190
關島,175200
古拉索,158670
阿爾察赫,148000
吉里巴斯,125000
阿魯巴,111840
聖文森及格瑞那丁,110610
格瑞那達,108770
澤西,106800
美屬維京群島,106160
密克羅尼西亞聯邦,105600
東加,100000
塞席爾,97625
安地卡及巴布達,96134
曼島,83314
安道爾,77543
多米尼克,73286
開曼群島,68076
百慕達,64027
耿西,62792
聖克里斯多福及尼維斯,57567
美屬薩摩亞,57100
北馬利安納群島,56600
格陵蘭,56081
馬紹爾群島,55900
南奧塞提亞,53532
法羅群島,52199
特克斯與凱科斯群島,42953
荷屬聖馬丁,40614
列支敦斯登,38749
摩納哥,38300
法屬聖馬丁,35334
聖馬利諾,33574
直布羅陀,32548
英屬維京群島,32543
奧蘭,29885
帛琉,17900
安圭拉,16187
庫克群島,15250
瓦利斯和富圖那,11600
諾魯,11200
吐瓦魯,10300
聖巴瑟米,9961
聖皮埃與密克隆群島,5997
聖海蓮娜、阿森松和特里斯坦-達庫尼亞,5633
蒙哲臘,5225
福克蘭群島,3198
斯瓦爾巴和揚馬延,2800
聖誕島,1928
諾福克島,1756
紐埃,1520
托克勞,1400
科科斯（基林）群島,538
梵蒂岡,453
美國本土外小島嶼,190
皮特肯群島,50
馬爾他騎士團,3
